,job_title,company,rating,location,date,job_desc
0,ITT Developer,Network Homes,3.7,Wembley HA9,PostedPosted 5 days ago,"27 days annual leave – plus an extra day for every year of service.
Ability to buy or sell up to five days annual leave per year."
1,"Software Engineer, Machine Learning, Health AI",Google,4.3,London,PostedPosted 1 day ago,"Experience in Machine Learning software engineering projects.
Google's software engineers develop the next-generation technologies that change how billions of…"
2,Software Engineer Internship,Microsoft,4.2,Twycross,PostedPosted 2 days ago,"Research and develop software systems to support the development of our products in conjunction with other engineers.
(not just a scripting language)."
3,Software Engineers,PwC,4.0,London+1 location,PostedPosted 2 days ago,Not the role for you? Did you know PwC offers flexible career arrangements and contract work? Learn more. The skills we look for The PwC Professional is our…
4,Coding Academy Graduate developer,Softwire,4.7,London,PostedPosted 30+ days ago,"Entry-level Developer – Career Switchers and Returners – for those with 2+ years’ full-time, permanent employment in a field other than software development, or…"
5,Medical Software Consultant: App Development,Team Consulting,4.8,Cambridge+4 locations,PostedPosted 30+ days ago,"Documenting software architecture and design.
Supporting business development activities relevant to Team's software offering.
Experience in Swift and Xcode."
6,"AI/ML - Placement Year Intern (Software Engineering), Siri Understanding",Apple,4.1,Cambridge,PostedPosted 14 days ago,"Object-oriented software design and programming.
We will partner you with a dedicated and experienced software engineering mentor who is an authority in your…"
7,BBC Software Engineering Graduate Scheme 2023,BBC,4.2,Remote in London,PostedPosted 28 days ago,You have some demonstrable software engineering experience – perhaps gained via self-teaching or a coding boot camp; or you have previously completed a degree…
8,Developer Degree Apprenticeship 2023,Barclays,3.9,Northampton+2 locations,PostedJust posted,"You'll also benefit from working with a diverse team of experienced Developers, meaning you'll have hands on support with the day-to-day work from the very…"
9,2023 Technology Software Engineer Apprentice Programme (London and Brighton),Amex,4.1,Brighton,PostedPosted 11 days ago,"Develop software applications as part of a Scrum team.
Some entry level software development experience or design or creative experience."
10,Software Engineering Graduate Programme 2023,Marks & Spencer,3.8,London,PostedPosted 30+ days ago,"While zoning in on the fascinating ‘M&OS’ approach to software engineering.
Basic understanding of software development practices, continuous integration, and…"
