Title,Company,Salary,Summary,Location
Software Developer,20 October by Alfred H Knight,Competitive salary,"WHAT IS ON OFFER AHK has an exciting opportunity for a Software Developer to join our IT Team based in Prescot, Liverpool. This role will focus on developing systems that will meet the continuing needs of the Alfred H Knight group of companies. ABOUT US...","Liverpool
                    Merseyside"
Software Developer,15 November by haart,"£40,000 - £45,000 per annum",What’s on offer to you as a n Software Developer First year earnings between 40k to 45k 28 days holiday entitlement Enrolment onto the Spicerhaart Vocational Development Programme Essential Skills of an Software Developer At least 2 years commercial experience...,"Colchester
                    Essex"
Software Developer,31 October by Understanding Recruitment,"£50,000 - £60,000 per annum",Do you want to work with a UK-based and industry-leading odds on worldwide sports events as a .NET Developer? Do you want to work with financial trading platforms and Sports mobile applications? A market-leading sports-based betting organisation are on...,"Hertfordshire
                    Hertfordshire"
Software Developer,8 November by Searchability,"£90,000 per annum",SOFTWARE DEVELOPER - JAVA / SPRING / SPRING BOOT / CLOUD / MICROSERVICES / API / AGILE FANTASTIC NEW OPPORTUNITY FOR AN EXPERIENCED SOFTWARE DEVELOPER - HYBRID WORKING Permanent opportunity for an experienced Software Developer Hybrid remote working model...,"Bristol
                    Avon"
Software Developer,10 November by Premier IT,"£35,000 - £45,000 per annum","Software Developer 45,000 We’re looking for a Software Developer to join a small IT Development team near Doncaster. The role is full time on site, and will be programming on an ERP Manufacturing site. The Software Developer will have access to the following:...","South Yorkshire
                    South Yorkshire"
Software Developer,25 October by LANGHAM RECRUITMENT LIMITED,"£45,000 - £49,000 per annum",Software Developer | Hybrid- Cambridge | Up to 49K DOE additional monthly financial contribution | Brilliant opportunity Would you like to work as a software developer for a leading life science organisation? As a software developer you will be responsible...,"Hinxton
                    Essex"
Software Developer,27 October by Hays Specialist Recruitment Limited,"£35,000 - £45,000 per annum","Software Developer - C# Software Developer required to join a leading supplier of aircraft equipment with a global client list, supplying products for both business and first-class aircraft. This industry leader is offering an opportunity to join their...",Ireland
Software Developer,7 November by Premier IT,"£40,000 - £60,000 per annum","Software Developer 60,000 We’re looking for Software Developers who want to be involved in creating applications used for the wider benefit of public society. The Software Developer will be joining a highly dedicated team who are working across different...","South Yorkshire
                    South Yorkshire"
Software Developer,25 October by  The People Network,"£40,000 - £45,000 per annum",Software Developer – London Are you passionate a passionate Software Developer and looking to work for a multi-national IT services hub to work with one of the UK's most innovative gaming platforms looking to take their team to the next level. The Software...,"Chiswick
                    London"
Software Developer,19 October by Gregory Martin International,"£25,000 - £60,000 per annum","Software Developer - C#, .net Location: Farnham, Surrey / Hybrid role Salary: 25,000 to 60,000 plus company benefits Our client is a successful software house developing mission critical systems for airport operations. They are looking for motivated self-starter...","Tongham
                    Surrey"
