,job_title,location,company,Salary,date,job_desc,skills
0,Software Developer,"Box, SN13",Corsham Science,£45k  55k per year  Bens,Recently,"We are looking for passionate and talented software developers to join our growing team, at an exciting time. Our innovation in science, technology and software has been a powerful driver of growth for us. In particular, our in-house software development teams have contributed to making our products and services safer, more efficient, and more cost-effective. At Corsham Science we work alongside our sister companies to develop and maintain bespoke software solutions, which on a daily basis are used to deliver medication and medical services to patients and to help humankind win the war against pathogens. You should be self-motivated and engaged, and willing to actively collaborate with the development team, supporting both Senior and Junior Developers when required. * Understand the a","['innovation', 'self motivated', 'medication', 'actively', 'collaborate', 'software developers', 'maintain', 'software development', 'medical services']"
1,Software Developer,"Chippenham, Wiltshire",IO Associates,£40000  £60000 per annum,Recently,"Role: Full Stack Developer My client, a growing green tech company, is currently recruiting for a Full Stack Developer to join their development team. You will be responsible for be supporting the Technical Architect and Lead Developers to enable ever-improving development and quality within the Scrum teams.",['scrum']
2,Software Developer,Essex,DVF Recruitment,Up to £105000 per annum,Recently,"Senior Developer Opportunity - Market leading actuarial, risk, and catastrophe modelling software integration partner.","['software integration', 'catastrophe modelling']"
3,Software Developer,"Milton Keynes, Buckinghamshire, MK6 4BB",Domino's Pizza,Up to £50000 per annum  bonus pension private medical and dental,Recently,"As a Software Developer you will join our high calibre team of software professionals, with a culture designed to offer a challenging but supportive and career enhancing environment. As a Software Developer you will develop across the full development lifecycle using an Agile (Scrum) methodology from requirements analysis to delivery. * An understanding of the SOLID Principles of software development and how they are applied.","['requirement analysis', 'software developer', 'scrum', 'agile', 'software development', 'solid principle', 'professionals']"
4,Software Developer,"LS1, Leeds",Addleshaw Goddard,Unspecified,Recently,"Working as part of the IT Development Team, the Full stack Software Developer will work to understand stakeholders' needs to design and develop innovative, high quality IT bespoke software solutions, automations, and integrations in line with industry best practice. The Software Developer will engage with stakeholders in understanding the opportunity or problem, and wherever possible provide options on how these could best be met with custom application development, within the relevant constraints of time, budget, and resource. The Full stack Software Developer will work with the latest technologies including .Net 6.0, Docker Containers, Azure Hosting, Terraform/ARM Templates, and Azure DevOps for task management and CI/CD. * Design and develop innovative, high quality IT bespoke software solutions, automations, and integrations to meet these needs","['templates', 'automations', 'industry', 'ARM', 'innovative', 'software developer', 'integrations', 'budget', 'task management', 'resource', 'best practice', 'application development', 'terraform', 'docker container', 'software', 'azure devops', 'hosting']"
5,Software Developer,"M1, Manchester",Addleshaw Goddard,Unspecified,Recently,"Addleshaw Goddard are looking for software developers with a passion to create and deliver the next generation of legal solution. * You'll get to collaborate with Software Developers, Legal Technologists and Legal subject matter experts to design and build high quality and innovative legal technology solutions. As a developer, you will work closely with senior developers and ILT Senior Managers. * You'll assist and support Legal Technologists and junior developers with coding activities and provide guidance as to industry best practice. * You'll plan, prioritise and schedule individual workload in conjunction with the IT Software Development Manager and I< Management team. * You'll get to follow best software development practice ensuring that code","['industry', 'innovative', 'manager', 'ILT', 'activities', 'software developers', 'technology solution', 'subject matter', 'management team', 'best practice', 'collaborate', 'software development', 'plan', 'managers', 'schedule']"
6,Software Developer,"M1, Manchester",Addleshaw Goddard,Unspecified,Recently,"Working as part of the IT Development Team, the Full stack Software Developer will work to understand stakeholders' needs to design and develop innovative, high quality IT bespoke software solutions, automations, and integrations in line with industry best practice. The Software Developer will engage with stakeholders in understanding the opportunity or problem, and wherever possible provide options on how these could best be met with custom application development, within the relevant constraints of time, budget, and resource. The Full stack Software Developer will work with the latest technologies including .Net 6.0, Docker Containers, Azure Hosting, Terraform/ARM Templates, and Azure DevOps for task management and CI/CD. * Design and develop innovative, high quality IT bespoke software solutions, automations, and integrations to meet these needs","['templates', 'automations', 'industry', 'ARM', 'innovative', 'software developer', 'integrations', 'budget', 'task management', 'resource', 'best practice', 'application development', 'terraform', 'docker container', 'software', 'azure devops', 'hosting']"
7,Software Developer,"LS1, Leeds",Addleshaw Goddard,Unspecified,Recently,"Addleshaw Goddard are looking for software developers with a passion to create and deliver the next generation of legal solution. * You'll get to collaborate with Software Developers, Legal Technologists and Legal subject matter experts to design and build high quality and innovative legal technology solutions. As a developer, you will work closely with senior developers and ILT Senior Managers. * You'll assist and support Legal Technologists and junior developers with coding activities and provide guidance as to industry best practice. * You'll plan, prioritise and schedule individual workload in conjunction with the IT Software Development Manager and I< Management team. * You'll get to follow best software development practice ensuring that code","['industry', 'innovative', 'manager', 'ILT', 'activities', 'software developers', 'technology solution', 'subject matter', 'management team', 'best practice', 'collaborate', 'software development', 'plan', 'managers', 'schedule']"
8,Science Software Developer,"LS11, Leeds, LS11 5PS",Lhasa Limited,Competitive salary plus generous benefits package,Recently,"This is a permanent software developer post in the Molecular Informatics Team to support the development of life science applications, model building and knowledge discovery. We develop meaningful science and software that supports the delivery of life-enhancing solutions including the development of safe chemicals to market including drugs and cosmetics as well as making a positive contribution to reducing animal testing. * Design, implement and maintain cheminformatics software tools and applications that support model building and knowledge discovery in the domain of life science * Work collaboratively with others to produce proof of concept software (for internal use) and prototypes (for external use) * Where required, demonstrate software to user representatives and other project","['cheminformatics', 'model building', 'life science', 'informatics', 'software developer', 'tools', 'knowledge discovery', 'cosmetics', 'collaboratively', 'safe', 'prototypes', 'maintain', 'positive']"
9,Software Developer,"Manchester, Greater Manchester",Shift F5,£20000  £30000 per annum,Recently,I am looking for an enthusiastic developer with a year or two of experience in a commercial environment.,['commercial']
